Nr,Gebiet,Waehler,Waehler Vorperiode,Ungueltige Erststimmen,"Ungueltige Erststimmen, Prozent",Ungueltige Erststimmen Vorperiode,"Ungueltige Erststimmen Vorperiode, Prozent",Ungueltige Zweitstimmen,"Ungueltige Zweitstimmen, Prozent",Ungueltige Zweitstimmen Vorperiode,"Ungueltige Zweitstimmen Vorperiode, Prozent",Gueltige Erststimmen,Gueltige Erststimmen Vorperiode,Gueltige Zweitstimmen,Gueltige Zweitstimmen Vorperiode,CDU Erststimmen,CDU Zweitstimmen,SPD Erststimmen,SPD Zweitstimmen,FDP Erststimmen,FDP Erststimmen Vorperiode,FDP Zweitstimmen,FDP Zweitstimmen Vorperiode,DIE LINKE Erststimmen,DIE LINKE Zweitstimmen,GRUENE Erststimmen,GRUENE Zweitstimmen,CSU Erststimmen,CSU Zweitstimmen,CDU/CSU Erststimmen,CDU/CSU Zweitstimmen
1,Flensburg - Schleswig,162749,163329,2223,0.014,4117,0.025,2113,0.013,4181,0.026,160526,159212,160636,159148,68235,61347,59718,52396,3039,15292,8065,24187,7436,9084,12491,15734,,,68235,61347
2,Nordfriesland - Dithmarschen Nord,131527,134671,1648,0.013,3382,0.025,1483,0.011,3218,0.024,129879,131289,130044,131453,64678,56383,41714,38590,3172,15184,8321,22605,4653,5733,8465,10547,,,64678,56383
3,Steinburg - Dithmarschen Sd,126409,128320,1523,0.012,3348,0.026,1451,0.011,3030,0.024,124886,124972,124958,125290,56669,52408,42476,37502,6324,16037,7689,21970,4909,6286,6386,9485,,,56669,52408
4,Rendsburg-Eckernfrde,149583,150018,1743,0.012,3404,0.023,1616,0.011,3026,0.020,147840,146614,147967,146992,66775,60349,54397,46658,2754,14317,8126,23442,4902,6447,10306,13707,,,66775,60349
5,Kiel,146452,145483,1674,0.011,3442,0.024,1483,0.010,2263,0.016,144778,142041,144969,143220,47925,43893,62271,50262,3069,12188,7708,19156,7622,10023,14435,20394,,,47925,43893
6,Pln - Neumnster,127093,127971,1681,0.013,3292,0.026,1520,0.012,3031,0.024,125412,124679,125573,124940,54833,48683,47085,41094,2322,12515,6722,19772,4708,5987,7979,11577,,,54833,48683
7,Pinneberg,179055,176188,1703,0.010,3384,0.019,1682,0.009,3193,0.018,177352,172804,177373,172995,80483,72006,64006,55371,3303,17018,9863,28640,6985,8910,11324,15291,,,80483,72006
8,Segeberg - Stormarn-Mitte,183250,180295,1735,0.009,3674,0.020,1660,0.009,3303,0.018,181515,176621,181590,176992,82471,74161,63998,54691,3722,20084,10449,31407,7003,9112,11141,15695,,,82471,74161
9,Ostholstein - Stormarn-Nord,131939,131917,1551,0.012,4043,0.031,1452,0.011,3094,0.023,130388,127874,130487,128823,59783,53705,48349,41134,2962,14397,8036,22701,4469,5663,7145,10490,,,59783,53705
10,Herzogtum Lauenburg - Stormarn-Sd,182982,181568,1708,0.009,3884,0.021,1560,0.009,3259,0.018,181274,177684,181422,178309,81954,73603,62749,53944,3901,19742,10878,30714,6834,8962,12774,16579,,,81954,73603
